Badge Title,Issuer,Badge Date
GitHub Administration,GitHub,2022-11-16
GitHub Advanced Security,GitHub,2022-11-30
GitHub Actions,GitHub,2022-04-21
Microsoft Certified: Azure Solutions Architect Expert,Microsoft,2019-04-04
Microsoft Certified: Azure Administrator Associate,Microsoft,2019-05-02
Microsoft Certified: DevOps Engineer Expert,Microsoft,2019-12-18
Microsoft Certified: Azure Security Engineer Associate,Microsoft,2020-03-26
Microsoft Global Challenger,Microsoft Global Challenger,2017-11-15
OpenHack: Containers,Microsoft OpenHack,2019-10-24
Valuable Contributor Silver,Microsoft Customer Service and Support,2020-07-10
OpenHack: DevOps,Microsoft OpenHack,2020-09-24
OpenHack: Migrating Microsoft Workloads to Azure,Microsoft OpenHack,2020-10-22
OpenHack: DevOps Coach,Microsoft OpenHack,2020-11-04
Azure Architecture Center Contributor - Bronze FY21,Microsoft Student Ambassadors Communities,2021-04-08
"OpenHack: Security, Compliance, and Identity",Microsoft OpenHack,2021-09-09
Collaborator - Cloud Adoption Framework for Azure,Microsoft Student Ambassadors Communities,2021-11-16
OpenHack: Serverless,Microsoft OpenHack,2022-05-26
Streak Level One,Microsoft Student Ambassadors Communities,2022-08-08
Microsoft Global Hackathon 2022,The Microsoft Garage,2022-08-24
Challenge Explorer (1 hands-on lab completed),Skillable,2022-09-21
Kusto Detective Agency - Onboarding,Microsoft Azure Data Explorer,2022-10-31
Kusto Detective Agency - Case #1 Badge,Microsoft Azure Data Explorer,2022-11-01
Exam 532: Developing Microsoft Azure Solutions,Microsoft,2017-04-28
Exam 533: Implementing Microsoft Azure Infrastructure Solutions,Microsoft,2017-08-31
Exam 534: Architecting Microsoft Azure Solutions,Microsoft,2017-10-13
MCSA: Cloud Platform - Certified 2017,Microsoft,2017-08-31
MCSE: Cloud Platform and Infrastructure â€” Certified 2017,Microsoft,2017-10-13
AZ-300 Microsoft Azure Architect Technologies,Microsoft,2019-03-14
Microsoft Certified: Azure Solutions Architect Expert (Legacy)*,Microsoft,2019-04-04
AZ-301 Microsoft Azure Architect Design,Microsoft,2019-04-04
Microsoft Certified: Azure Administrator Associate (Legacy),Microsoft,2019-05-02
Microsoft Certified Trainer 2019-2020,Microsoft,2019-04-25
AZ-400: Designing and Implementing Microsoft DevOps Solutions,Microsoft,2019-12-18
Microsoft Certified Trainer 2020-2021,Microsoft,2020-04-26
Miro essentials,Miro,2025-12-26
2025 Microsoft Most Valuable Professional (MVP),Microsoft Most Valuable Professionals Program,2025-11-03
Microsoft Global Hackathon 2025,The Microsoft Garage,2025-09-07
HashiCorp Certified: Terraform Associate (003),HashiCorp,2025-07-08
Jumpstart problem solver,Arc Jumpstart,2024-11-18
